id	ncbi
67	NCBITaxon:10090
10	NCBITaxon:10090
144	NCBITaxon:104102
14	NCBITaxon:104102
293	NCBITaxon:10760
165	NCBITaxon:11292
302	NCBITaxon:1245
21	NCBITaxon:1245
138	NCBITaxon:1280
190	NCBITaxon:12845
28	NCBITaxon:1423
58	NCBITaxon:1423
59	NCBITaxon:1423
60	NCBITaxon:1423
64	NCBITaxon:1423
66	NCBITaxon:1423
85	NCBITaxon:1423
133	NCBITaxon:1423
285	NCBITaxon:1423
65	NCBITaxon:1423
121	NCBITaxon:1423
154	NCBITaxon:1423
246	NCBITaxon:1462527
171	NCBITaxon:1580
18	NCBITaxon:1580
198	NCBITaxon:1590
19	NCBITaxon:1590
120	NCBITaxon:171693
137	NCBITaxon:2697049
79	NCBITaxon:287
80	NCBITaxon:287
81	NCBITaxon:287
82	NCBITaxon:287
83	NCBITaxon:287
84	NCBITaxon:287
132	NCBITaxon:287
146	NCBITaxon:287
147	NCBITaxon:287
173	NCBITaxon:287
176	NCBITaxon:287
179	NCBITaxon:287
203	NCBITaxon:287
213	NCBITaxon:287
264	NCBITaxon:287
282	NCBITaxon:287
286	NCBITaxon:287
304	NCBITaxon:287
98	NCBITaxon:287
100	NCBITaxon:287
122	NCBITaxon:287
218	NCBITaxon:287
238	NCBITaxon:287
295	NCBITaxon:287
306	NCBITaxon:287
109	NCBITaxon:2886926
86	NCBITaxon:28901
141	NCBITaxon:28901
153	NCBITaxon:28901
191	NCBITaxon:28901
309	NCBITaxon:293387
149	NCBITaxon:29829
113	NCBITaxon:303
188	NCBITaxon:303
195	NCBITaxon:303
229	NCBITaxon:303
281	NCBITaxon:303
112	NCBITaxon:3702
250	NCBITaxon:3702
300	NCBITaxon:3702
175	NCBITaxon:39947
263	NCBITaxon:39947
289	NCBITaxon:39947
305	NCBITaxon:39947
130	NCBITaxon:410658
134	NCBITaxon:410658
143	NCBITaxon:410658
158	NCBITaxon:410658
168	NCBITaxon:410658
270	NCBITaxon:410658
277	NCBITaxon:410658
292	NCBITaxon:410658
299	NCBITaxon:410658
125	NCBITaxon:469
298	NCBITaxon:484184
20	NCBITaxon:484184
71	NCBITaxon:4922
72	NCBITaxon:4922
77	NCBITaxon:4922
230	NCBITaxon:4922
214	NCBITaxon:4922
29	NCBITaxon:4932
30	NCBITaxon:4932
36	NCBITaxon:4932
37	NCBITaxon:4932
38	NCBITaxon:4932
40	NCBITaxon:4932
56	NCBITaxon:4932
91	NCBITaxon:4932
102	NCBITaxon:4932
107	NCBITaxon:4932
129	NCBITaxon:4932
135	NCBITaxon:4932
186	NCBITaxon:4932
197	NCBITaxon:4932
217	NCBITaxon:4932
255	NCBITaxon:4932
275	NCBITaxon:4932
283	NCBITaxon:4932
117	NCBITaxon:4932
124	NCBITaxon:4932
155	NCBITaxon:4932
240	NCBITaxon:4932
32	NCBITaxon:4952
33	NCBITaxon:4952
34	NCBITaxon:4952
35	NCBITaxon:4952
62	NCBITaxon:4952
73	NCBITaxon:4952
74	NCBITaxon:4952
75	NCBITaxon:4952
76	NCBITaxon:4952
78	NCBITaxon:4952
131	NCBITaxon:4952
159	NCBITaxon:4952
162	NCBITaxon:4952
182	NCBITaxon:4952
103	NCBITaxon:4952
199	NCBITaxon:4952
205	NCBITaxon:4952
227	NCBITaxon:4952
262	NCBITaxon:4952
287	NCBITaxon:4952
297	NCBITaxon:4952
301	NCBITaxon:4952
172	NCBITaxon:5061
245	NCBITaxon:5061
219	NCBITaxon:53345
16	NCBITaxon:53345
258	NCBITaxon:545501
266	NCBITaxon:546
210	NCBITaxon:547
232	NCBITaxon:548
69	NCBITaxon:549
23	NCBITaxon:562
31	NCBITaxon:562
39	NCBITaxon:562
57	NCBITaxon:562
61	NCBITaxon:562
63	NCBITaxon:562
88	NCBITaxon:562
89	NCBITaxon:562
90	NCBITaxon:562
99	NCBITaxon:562
104	NCBITaxon:562
105	NCBITaxon:562
106	NCBITaxon:562
108	NCBITaxon:562
110	NCBITaxon:562
115	NCBITaxon:562
116	NCBITaxon:562
118	NCBITaxon:562
119	NCBITaxon:562
123	NCBITaxon:562
126	NCBITaxon:562
128	NCBITaxon:562
136	NCBITaxon:562
140	NCBITaxon:562
148	NCBITaxon:562
150	NCBITaxon:562
152	NCBITaxon:562
157	NCBITaxon:562
161	NCBITaxon:562
166	NCBITaxon:562
167	NCBITaxon:562
174	NCBITaxon:562
177	NCBITaxon:562
178	NCBITaxon:562
180	NCBITaxon:562
187	NCBITaxon:562
192	NCBITaxon:562
201	NCBITaxon:562
204	NCBITaxon:562
207	NCBITaxon:562
208	NCBITaxon:562
211	NCBITaxon:562
212	NCBITaxon:562
215	NCBITaxon:562
216	NCBITaxon:562
221	NCBITaxon:562
222	NCBITaxon:562
225	NCBITaxon:562
226	NCBITaxon:562
231	NCBITaxon:562
233	NCBITaxon:562
234	NCBITaxon:562
236	NCBITaxon:562
239	NCBITaxon:562
241	NCBITaxon:562
244	NCBITaxon:562
249	NCBITaxon:562
251	NCBITaxon:562
253	NCBITaxon:562
254	NCBITaxon:562
257	NCBITaxon:562
259	NCBITaxon:562
260	NCBITaxon:562
261	NCBITaxon:562
265	NCBITaxon:562
268	NCBITaxon:562
269	NCBITaxon:562
272	NCBITaxon:562
276	NCBITaxon:562
278	NCBITaxon:562
280	NCBITaxon:562
288	NCBITaxon:562
290	NCBITaxon:562
294	NCBITaxon:562
169	NCBITaxon:562
242	NCBITaxon:562
243	NCBITaxon:582851
151	NCBITaxon:590
209	NCBITaxon:590
224	NCBITaxon:590
127	NCBITaxon:59201
139	NCBITaxon:59201
237	NCBITaxon:59201
308	NCBITaxon:59201
284	NCBITaxon:65959
22	NCBITaxon:65959
87	NCBITaxon:691
194	NCBITaxon:7227
247	NCBITaxon:7227
-5	NCBITaxon:7227
-4	NCBITaxon:7227
-3	NCBITaxon:7227
4	NCBITaxon:7227
6	NCBITaxon:7227
8	NCBITaxon:7227
9	NCBITaxon:7227
12	NCBITaxon:7227
3	NCBITaxon:7237
196	NCBITaxon:746691
291	NCBITaxon:859143
15	NCBITaxon:859143
296	NCBITaxon:86664
17	NCBITaxon:86664
1	NCBITaxon:9606
